URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_33.html,2025.3.20250714,active,"1.2.840.10008.6.1.1283",Modality,,"Transitive closure of CID 33 Modality","StructureDefinition/ch-idmp-documentreference","DICOM"
http://fhir.ch/ig/ch-epl/ValueSet/ch-SMC-substance,1.0.0,active,,ChSMCSubstanceVS,CH SMC - Substance,"Value Set for the Substances from SMC","StructureDefinition/ch-idmp-ingredient","Internal"
http://fhir.ch/ig/ch-epl/ValueSet/ch-SMC-therapeuticproductcode,1.0.0,active,,ChSMCTherapeuticProductcodeVS,CH SMC - TherapeuticProductcode,"Value Set for the TherapeuticProductcode from SMC",,"Internal"
http://fhir.ch/ig/ch-epl/ValueSet/ch-authorisation-type,1.0.0,active,,ChAuthorisationTypeVS,CH - Authorisation Type,"Value Set for Authorisation Type in Switzerland used by FOPH","StructureDefinition/ch-idmp-regulatedauthorization","Internal"
http://fhir.ch/ig/ch-epl/ValueSet/ch-epl-foph-gamme,1.0.0,active,,ChEplGammeVS,CH EPL - Gamme,"Value Set for the Gamme from ePL used by FOPH",,"Internal"
http://fhir.ch/ig/ch-epl/ValueSet/ch-epl-foph-index-therapeuticus,1.0.0,active,,ITCVS,CH EPL - Index Therapeuticus,"Value set for index therapeuticus (IT-Code).",,"Internal"
http://fhir.ch/ig/ch-epl/ValueSet/ch-epl-foph-limitationstatus,1.0.0,active,,ChEplLimitationStatusVS,CH EPL - Limitation Status,"Value Set for Limitierungsstatus from ePL used by FOPH",,"Internal"
http://fhir.ch/ig/ch-epl/ValueSet/ch-epl-foph-listing-status,1.0.0,active,,ChEplListingStatusVS,CH EPL - Listing Status,"Value Set for Listing Status from ePL used by FOPH",,"Internal"
http://fhir.ch/ig/ch-epl/ValueSet/ch-epl-foph-other-characteristics-packaged-item,1.0.0,active,,ChEplOtherCharacteristicsPackagedItemVS,CH EPL - Other Characteristics Packaged Item,"Value Set for Other Characteristics of a Packaged Item from ePL used by FOPH",,"Internal"
http://fhir.ch/ig/ch-epl/ValueSet/ch-epl-foph-pricetype,1.0.0,active,,ChEplPricetypeVS,CH EPL - Price Type,"Value Set for Pricetype from ePL used by FOPH",,"Internal"
http://fhir.ch/ig/ch-epl/ValueSet/ch-epl-foph-product-type,1.0.0,active,,ChEplProductTypeVS,CH EPL - Product Type,"Value Set for the Product Type from ePL used by FOPH",,"Internal"
http://fhir.ch/ig/ch-epl/ValueSet/ch-epl-foph-reimbursement-status,1.0.0,active,,ChEplReimbursementStatusVS,CH EPL - Reimbursement Status,"Value Set for Reimbursement Status from ePL used by FOPH",,"Internal"
http://fhir.ch/ig/ch-epl/ValueSet/ch-epl-foph-type-of-price-change,1.0.0,active,,ChEplTypeofPriceChangeVS,CH EPL - Type of Price Change,"Value Set for TypeofPriceChange from ePL used by FOPH",,"Internal"
http://fhir.ch/ig/ch-epl/ValueSet/ch-medicinal-product-name-type,1.0.0,active,,ChMedicinalProductNameTypeVS,CH - Medicinal Product Name Type,"Value Set for the Medicinal Product Name Type used in Switzerland",,"Internal"
http://fhir.ch/ig/ch-epl/ValueSet/ch-other-characteristics-type,1.0.0,active,,ChOtherCharacteristicsTypeVS,CH - Other Characteristics Type,"Value Set for Other Characteristics",,"Internal"
http://fhir.ch/ig/ch-epl/ValueSet/edqm-combination-packaging,1.0.0,active,"0.4.0.127.0.16.1.1.2.5",EdqmCombinationPackagingVS,EDQM - Combination Packaging,"Value Set for the Combination Packaging from EDQM used by SMC","ValueSet/ch-SMC-authorised-pharmaceutical-dose-form","Internal"
http://fhir.ch/ig/ch-epl/ValueSet/edqm-combined-pharmaceutical-dose-form,1.0.0,active,"0.4.0.127.0.16.1.1.2.3",EdqmCombinedPharmaceuticalDoseFormVS,EDQM - Combined Pharmaceutical Dose Form,"Value Set for the Combined Pharmaceutical Dose Froms from EDQM used by SMC","StructureDefinition/ch-idmp-medicinalproductdefinition,ValueSet/ch-SMC-authorised-pharmaceutical-dose-form","Internal"
http://fhir.ch/ig/ch-epl/ValueSet/edqm-combined-term,1.0.0,active,"0.4.0.127.0.16.1.1.2.4",EdqmCombinedTermVS,EDQM - Combined Term,"Value Set for the Combined Terms from EDQM used by SMC","ValueSet/ch-SMC-authorised-pharmaceutical-dose-form","Internal"
http://fhir.ch/ig/ch-epl/ValueSet/edqm-packaging,1.0.0,active,"0.4.0.127.0.16.1.1.2.7",EdqmPackagingVS,EDQM - Packaging,"Value Set for the Packaging from EDQM used by SMC","StructureDefinition/ch-idmp-packagedproductdefinition","Internal"
http://fhir.ch/ig/ch-epl/ValueSet/edqm-pharmaceutical-dose-form,1.0.0,active,"0.4.0.127.0.16.1.1.2.2",EdqmPharmaceuticalDoseFormVS,EDQM - Pharmaceutical Dose Form,"Value Set for the Pharmaceutical Dose Form","StructureDefinition/ch-idmp-manufactureditemdefinition,ValueSet/ch-SMC-authorised-pharmaceutical-dose-form","Internal"
http://fhir.ch/ig/ch-epl/ValueSet/edqm-route-of-administration,1.0.0,active,"0.4.0.127.0.16.1.1.2.6",EdqmRouteOfAdministrationVS,EDQM - Route Of Administration,"Value Set for the Route Of Administration from EDQM",,"Internal"
http://fhir.ch/ig/ch-epl/ValueSet/edqm-unit-of-presentation,1.0.0,active,,EdqmUnitOfPresentationVS,EDQM - Unit of Presentation,"Value Set for the Unit of Presentation from EDQM used by SMC","StructureDefinition/ch-idmp-manufactureditemdefinition","Internal"
http://fhir.ch/ig/ch-epl/ValueSet/ema-domain,1.0.0,active,,EMADomainVS,EMA - Domain,"Value Set for the Domain from EMA used by SMC",,"Internal"
http://fhir.ch/ig/ch-epl/ValueSet/ema-intended-effect,1.0.0,active,,EMAIntendedEffectVS,EMA - Intended Effect,"Value Set for the Intended Effect from EMA used by SMC","StructureDefinition/ch-idmp-clinicalusedefinition-indication","Internal"
http://fhir.ch/ig/ch-epl/ValueSet/ema-shelf-life-type,1.0.0,active,,EMAShelfLifeTypeVS,EMA - Shelf Life Type,"Value Set for the Shelf Life Type from EMA used by SMC",,"Internal"
http://hl7.org/fhir/ValueSet/administrable-dose-form,5.0.0,draft,"2.16.840.1.113883.4.642.3.3167",AdministrableDoseForm,Administrable Dose Form,"Dose form for a medication, in the form suitable for administering to the patient, after mixing, where necessary.","StructureDefinition/ch-idmp-administrableproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/all-languages,5.0.0,active,"2.16.840.1.113883.4.642.3.21",AllLanguages,All Languages,"This value set includes all possible codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/ch-idmp-documentreference,StructureDefinition/ch-idmp-medicinalproductdefinition,StructureDefinition/ch-idmp-ingredient,StructureDefinition/ch-idmp-regulatedauthorization,StructureDefinition/ch-idmp-clinicalusedefinition-indication,StructureDefinition/ch-idmp-manufactureditemdefinition,StructureDefinition/ch-idmp-packagedproductdefinition,StructureDefinition/ch-epl-organization,StructureDefinition/ch-idmp-administrableproductdefinition,StructureDefinition/ch-idmp-bundle","Other"
http://hl7.org/fhir/ValueSet/animal-tissue-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3165",AnimalTissueType,Animal Tissue Type,"A tissue type of an animal.","StructureDefinition/ch-idmp-administrableproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/body-site,5.0.0,draft,"2.16.840.1.113883.4.642.3.653,2.16.840.1.113883.4.642.2.78,2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/ch-idmp-documentreference","SCT"
http://hl7.org/fhir/ValueSet/bundle-type,5.0.0,active,"2.16.840.1.113883.4.642.3.620,2.16.840.1.113883.4.642.2.327,2.16.840.1.113883.4.642.3.612",BundleType,Bundle Type,"Indicates the purpose of a bundle - how it is intended to be used.","StructureDefinition/ch-idmp-bundle","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/c80-facilitycodes,5.0.0,active,"2.16.840.1.113883.3.88.12.80.67,2.16.840.1.113883.4.642.2.131",FacilityTypeCodeValueSet,Facility Type Code Value Set,"This is the code representing the type of organizational setting where the clinical encounter,    service, interaction, or treatment occurred. The value set used for Healthcare Facility    Type has been defined by HITSP to be the value set reproduced from HITSP C80 Table 2-147.","StructureDefinition/ch-idmp-documentreference","SCT"
http://hl7.org/fhir/ValueSet/c80-practice-codes,5.0.0,active,"2.16.840.1.113883.4.642.2.134,2.16.840.1.113883.3.88.12.80.72",PracticeSettingCodeValueSet,Practice Setting Code Value Set,"This is the code representing the clinical specialty of the clinician or provider who    interacted with, treated, or provided a service to/for the patient. The value set used    for clinical specialty has been limited by HITSP to the value set reproduced from HITSP    C80 Table 2-149 Clinical Specialty Value Set Definition.","StructureDefinition/ch-idmp-documentreference","SCT"
http://hl7.org/fhir/ValueSet/clinical-use-definition-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.3109",ClinicalUseDefinitionCategory,Clinical Use Definition Category,"A categorisation for a clinical use information item.","StructureDefinition/ch-idmp-clinicalusedefinition-indication","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/clinical-use-definition-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3107",ClinicalUseDefinitionType,Clinical Use Definition Type,"Overall defining type of this clinical use definition.","StructureDefinition/ch-idmp-clinicalusedefinition-indication","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/composition-attestation-mode,5.0.0,draft,"2.16.840.1.113883.4.642.3.233,2.16.840.1.113883.4.642.3.238,2.16.840.1.113883.4.642.2.120",CompositionAttestationMode,Composition Attestation Mode,"The way in which a person authenticated a composition.","StructureDefinition/ch-idmp-documentreference","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/composition-status,5.0.0,draft,"2.16.840.1.113883.4.642.2.123,2.16.840.1.113883.4.642.3.236,2.16.840.1.113883.4.642.3.241",CompositionStatus,Composition Status,"The workflow/clinical status of the composition.","StructureDefinition/ch-idmp-documentreference","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/country,5.0.0,draft,"2.16.840.1.113883.4.642.3.3297",CountryValueSet,Country ValueSet,"This value set defines a base set of codes for countries.             Note: The codes for countries are taken from    [ISO 3166](https://www.iso.org/iso-3166-country-codes.html).","StructureDefinition/ch-idmp-medicinalproductdefinition,StructureDefinition/ch-idmp-ingredient","Other"
http://hl7.org/fhir/ValueSet/disease-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.3117",DiseaseStatus,Disease Status,"The status of a disease or symptom.","StructureDefinition/ch-idmp-clinicalusedefinition-indication","SCT"
http://hl7.org/fhir/ValueSet/disease-symptom-procedure,5.0.0,draft,"2.16.840.1.113883.4.642.3.3114",DiseaseSymptomProcedure,Disease Symptom Procedure,"A symptom, disease or procedure.","StructureDefinition/ch-idmp-clinicalusedefinition-indication","SCT"
http://hl7.org/fhir/ValueSet/doc-typecodes,5.0.0,draft,"2.16.840.1.113883.4.642.3.235,2.16.840.1.113883.4.642.2.121,2.16.840.1.113883.4.642.3.240",FHIRDocumentTypeCodes,FHIR Document Type Codes,"FHIR Document Codes - all LOINC codes where scale type = 'DOC'.","StructureDefinition/ch-idmp-documentreference","LOINC"
http://hl7.org/fhir/ValueSet/document-reference-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.7",DocumentReferenceStatus,DocumentReferenceStatus,"The status of the document reference.","StructureDefinition/ch-idmp-documentreference","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/document-relationship-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.244,2.16.840.1.113883.4.642.3.239,2.16.840.1.113883.4.642.2.133",DocumentRelationshipType,Document Relationship Type,"The type of relationship between documents.","StructureDefinition/ch-idmp-documentreference","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/http-verb,5.0.0,active,"2.16.840.1.113883.4.642.3.624,2.16.840.1.113883.4.642.3.616,2.16.840.1.113883.4.642.2.329",HTTPVerb,H T T P Verb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","StructureDefinition/ch-idmp-bundle","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/iana-link-relations,5.0.0,active,,LinkRelationTypes,Link Relation Types,"Link Relation Types defined at https://www.iana.org/assignments/link-relations/link-relations.xhtml#link-relations-1","StructureDefinition/ch-idmp-bundle","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/identifier-type,5.0.0,active,"2.16.840.1.113883.4.642.3.45",IdentifierTypeCodes,Identifier Type Codes,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/ch-idmp-medicinalproductdefinition,StructureDefinition/ch-smc-loc-identifier,StructureDefinition/ch-core-gln-identifier,StructureDefinition/ch-idmp-administrableproductdefinition,StructureDefinition/ch-foph-dossier-number","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,5.0.0,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/ch-idmp-medicinalproductdefinition,StructureDefinition/ch-smc-loc-identifier,StructureDefinition/ch-core-gln-identifier,StructureDefinition/ch-idmp-administrableproductdefinition,StructureDefinition/ch-foph-dossier-number","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/ingredient-function,5.0.0,draft,"2.16.840.1.113883.4.642.3.3245",IngredientFunction,Ingredient Function,"A classification of the ingredient identifying its precise purpose(s) in the drug product (beyond e.g. active/inactive).","StructureDefinition/ch-idmp-ingredient","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/ingredient-manufacturer-role,5.0.0,draft,"2.16.840.1.113883.4.642.3.3247",IngredientManufacturerRole,Ingredient Manufacturer Role,"The way in which this manufacturer is associated with the ingredient. For example whether it is a possible one (others allowed), or an exclusive authorized one for this ingredient. Note that this is not the manufacturing process role.","StructureDefinition/ch-idmp-ingredient","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/interactant,5.0.0,draft,"2.16.840.1.113883.4.642.3.3105",Interactant,Interactant,"An interactant - a substance that may have a clinically significant effect on another.","StructureDefinition/ch-idmp-clinicalusedefinition-indication","SCT"
http://hl7.org/fhir/ValueSet/interaction-effect,5.0.0,draft,"2.16.840.1.113883.4.642.3.3111",InteractionEffect,Interaction Effect,"A interaction effect of clinical use of a medication or other substance.","StructureDefinition/ch-idmp-clinicalusedefinition-indication","SCT"
http://hl7.org/fhir/ValueSet/interaction-incidence,5.0.0,draft,"2.16.840.1.113883.4.642.3.3108",InteractionIncidence,Interaction Incidence,"A categorisation for incidence of occurence of an interaction.","StructureDefinition/ch-idmp-clinicalusedefinition-indication","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/interaction-management,5.0.0,draft,"2.16.840.1.113883.4.642.3.3110",InteractionManagement,Interaction Management,"A type of management for an interaction of a medication or other substance.","StructureDefinition/ch-idmp-clinicalusedefinition-indication","SCT"
http://hl7.org/fhir/ValueSet/interaction-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3115",InteractionType,Interaction Type,"A categorisation for an interaction between two substances.","StructureDefinition/ch-idmp-clinicalusedefinition-indication","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/jurisdiction,5.0.0,draft,"2.16.840.1.113883.4.642.3.48",JurisdictionValueSet,Jurisdiction ValueSet,"This value set defines a base set of codes for country, country subdivision and region    for indicating where a resource is intended to be used.             Note: The codes for countries and country subdivisions are taken from    [ISO 3166](https://www.iso.org/iso-3166-country-codes.html)    while the codes for ""supra-national"" regions are from    [UN Standard country or area codes for statistical use (M49)](http://unstats.un.org/unsd/methods/m49/m49.htm).","StructureDefinition/ch-idmp-medicinalproductdefinition,StructureDefinition/ch-idmp-regulatedauthorization,StructureDefinition/ch-idmp-packagedproductdefinition","Other"
http://hl7.org/fhir/ValueSet/languages,5.0.0,active,"2.16.840.1.113883.4.642.3.891,2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/ch-idmp-documentreference,StructureDefinition/ch-idmp-medicinalproductdefinition,StructureDefinition/ch-idmp-ingredient,StructureDefinition/ch-idmp-regulatedauthorization,StructureDefinition/ch-idmp-clinicalusedefinition-indication,StructureDefinition/ch-idmp-manufactureditemdefinition,StructureDefinition/ch-idmp-packagedproductdefinition,StructureDefinition/ch-epl-organization,StructureDefinition/ch-idmp-administrableproductdefinition,StructureDefinition/ch-idmp-bundle","Other"
http://hl7.org/fhir/ValueSet/legal-status-of-supply,5.0.0,draft,"2.16.840.1.113883.4.642.3.3017",LegalStatusOfSupply,Legal Status Of Supply,"The prescription supply types appropriate to a medicinal product","StructureDefinition/ch-idmp-medicinalproductdefinition,StructureDefinition/ch-idmp-packagedproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/medication-codes,5.0.0,draft,"2.16.840.1.113883.4.642.3.375,2.16.840.1.113883.4.642.2.199,2.16.840.1.113883.4.642.3.360",SNOMEDCTMedicationCodes,SNOMED CT Medication Codes,"This value set includes all drug or medicament substance codes and all pharmaceutical/biologic products from SNOMED CT - provided as an exemplar value set.","StructureDefinition/ch-idmp-medicinalproductdefinition","SCT"
http://hl7.org/fhir/ValueSet/medicinal-product-classification,5.0.0,draft,,ProductClassification,Product Classification,"This value set includes codes from the Anatomical Therapeutic Chemical Classification System - provided as an exemplar value set.","StructureDefinition/ch-idmp-medicinalproductdefinition","Other"
http://hl7.org/fhir/ValueSet/medicinal-product-confidentiality,5.0.0,draft,"2.16.840.1.113883.4.642.3.3026",ProductConfidentiality,Product Confidentiality,"Confidentiality rating, e.g. commercial sensitivity for a Medicinal Product.","StructureDefinition/ch-idmp-medicinalproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/medicinal-product-contact-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3027",ProductContactType,Product Contact Type,"Contact type for a Medicinal Product.","StructureDefinition/ch-idmp-medicinalproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/medicinal-product-cross-reference-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3029",ProductCrossReferenceType,Product Cross Reference Type,"Relationship to another Medicinal Product.","StructureDefinition/ch-idmp-medicinalproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/medicinal-product-domain,5.0.0,draft,"2.16.840.1.113883.4.642.3.3018",MedicinalProductDomain,Medicinal Product Domain,"Applicable domain for this product (e.g. human, veterinary)","StructureDefinition/ch-idmp-medicinalproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/medicinal-product-name-part-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3028",ProductNamePartType,Product Name Part Type,"Type of part of a name for a Medicinal Product.","StructureDefinition/ch-idmp-medicinalproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/medicinal-product-name-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3015",ProductNameType,Product Name Type,"Type of a name for a Medicinal Product.","StructureDefinition/ch-idmp-medicinalproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/medicinal-product-package-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3014",MedicinalProductPackageType,Medicinal Product Package Type,"Types of medicinal product packs","StructureDefinition/ch-idmp-medicinalproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/medicinal-product-special-measures,5.0.0,draft,"2.16.840.1.113883.4.642.3.3024",SpecialMeasures,Special Measures,"Extra measures defined for a Medicinal Product, such as a requirement to conduct post-authorization studies.","StructureDefinition/ch-idmp-medicinalproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/medicinal-product-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3022",MedicinalProductType,Medicinal Product Type,"Overall defining type of this Medicinal Product.","StructureDefinition/ch-idmp-medicinalproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/mimetypes,5.0.0,active,"2.16.840.1.113883.4.642.3.1024",MimeTypes,Mime Types,"This value set includes all possible codes from BCP-13 (see http://tools.ietf.org/html/bcp13)","StructureDefinition/ch-idmp-documentreference","Other"
http://hl7.org/fhir/ValueSet/organization-type,5.0.0,draft,"2.16.840.1.113883.4.642.2.228,2.16.840.1.113883.4.642.3.414,2.16.840.1.113883.4.642.3.403",OrganizationType,Organization Type,"This example value set defines a set of codes that can be used to indicate a type of organization.","StructureDefinition/ch-epl-organization","THO"
http://hl7.org/fhir/ValueSet/package-material,5.0.0,draft,"2.16.840.1.113883.4.642.3.3071",PackageMaterial,Package Material,"A material used in the construction of packages and their components.","StructureDefinition/ch-idmp-packagedproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/package-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3073",PackageType,Package Type,"A high level categorisation of a package.","StructureDefinition/ch-idmp-packagedproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/product-characteristic-codes,5.0.0,draft,"2.16.840.1.113883.4.642.3.3016",ProductCharacteristic,Product Characteristic,"This value set includes all observable entity codes from SNOMED CT - provided as an exemplar value set.","StructureDefinition/ch-idmp-medicinalproductdefinition,StructureDefinition/ch-idmp-manufactureditemdefinition,StructureDefinition/ch-idmp-packagedproductdefinition,StructureDefinition/ch-idmp-administrableproductdefinition","SCT"
http://hl7.org/fhir/ValueSet/product-intended-use,5.0.0,draft,"2.16.840.1.113883.4.642.3.2996",ProductIntendedUse,Product Intended Use,"The overall intended use of a product.","StructureDefinition/ch-idmp-regulatedauthorization","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/publication-status,5.0.0,active,"2.16.840.1.113883.4.642.3.3",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","StructureDefinition/ch-idmp-medicinalproductdefinition,StructureDefinition/ch-idmp-ingredient,StructureDefinition/ch-idmp-regulatedauthorization,StructureDefinition/ch-idmp-clinicalusedefinition-indication,StructureDefinition/ch-idmp-manufactureditemdefinition,StructureDefinition/ch-idmp-packagedproductdefinition,StructureDefinition/ch-idmp-administrableproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/quantity-comparator,5.0.0,active,"2.16.840.1.113883.4.642.3.59",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","StructureDefinition/ch-idmp-packagedproductdefinition","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/referenced-item-category,5.0.0,active,"2.16.840.1.113883.4.642.3.3275",ReferencedItemCategoryValueSet,Referenced Item Category Value Set,"This is the code specifying the high-level kind of document (e.g. Prescription, Discharge Summary, Report, etc.). Made up of a set of non-healthcare specific codes and all LOINC codes where scale type = 'DOC'.","StructureDefinition/ch-idmp-documentreference","LOINC,THO"
http://hl7.org/fhir/ValueSet/regulated-authorization-basis,5.0.0,draft,"2.16.840.1.113883.4.642.3.2997",RegulatedAuthorizationBasis,Regulated Authorization Basis,"A legal or regulatory framework against which an authorization is granted, or other reasons for it.","StructureDefinition/ch-idmp-regulatedauthorization","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/regulated-authorization-case-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.2998",RegulatedAuthorizationCaseType,Regulated Authorization Case Type,"The type of a case involved in an application.","StructureDefinition/ch-idmp-regulatedauthorization","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/route-codes,5.0.0,draft,"2.16.840.1.113883.4.642.3.98",SNOMEDCTRouteCodes,SNOMED CT Route Codes,"This value set includes all Route codes from SNOMED CT - provided as an exemplar.","StructureDefinition/ch-idmp-medicinalproductdefinition,StructureDefinition/ch-idmp-administrableproductdefinition","SCT"
http://hl7.org/fhir/ValueSet/search-entry-mode,5.0.0,active,"2.16.840.1.113883.4.642.2.328,2.16.840.1.113883.4.642.3.622,2.16.840.1.113883.4.642.3.614",SearchEntryMode,Search Entry Mode,"Why an entry is in the result set - whether it's included as a match or because of an _include requirement, or to convey information or warning information about the search process.","StructureDefinition/ch-idmp-bundle","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/security-label-examples,5.0.0,draft,"2.16.840.1.113883.4.642.3.3011",SecurityLabelExamples,Example set of Security Labels,"A sample of security labels from [Healthcare Privacy and Security Classification System](security-labels.html#hcs) as the combination of data and event codes.","StructureDefinition/ch-idmp-documentreference",
