URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_29.html,2025.3.20250714,active,"1.2.840.10008.6.1.19",AcquisitionModality,,"Transitive closure of CID 29 AcquisitionModality","StructureDefinition/ch-rad-order-imagingstudy","DICOM"
http://fhir.ch/ig/ch-rad-order/ValueSet/ch-rad-order-maneuver-type,2.0.1,active,,ChRadOrderManeuverType,Maneuver Type,"Definition for Maneuver Type Value Set in the context of CH RAD-Order.","Questionnaire/QuestionnaireRadiologyOrder,StructureDefinition/ch-rad-order-servicerequest,Questionnaire/ch-rad-order-module-medinfo","hl7.terminology.r4"
http://fhir.ch/ig/ch-rad-order/ValueSet/ch-rad-order-modality-type,2.0.1,active,,ChRadOrderModalityType,Modality Type,"Definition for Modality Type Value Set in the context of CH RAD-Order.","Questionnaire/QuestionnaireRadiologyOrder,StructureDefinition/ch-rad-order-servicerequest,Questionnaire/ch-rad-order-module-medinfo","hl7.terminology.r4"
http://fhir.ch/ig/ch-rad-order/ValueSet/ch-rad-order-order-detail-type,2.0.1,active,,ChRadOrderOrderDetailType,Type of Order Detail,"Definition for Type of Order Detail Value Set in the context of CH RAD-Order.","StructureDefinition/ch-rad-order-order-detail-type","Internal"
http://fhir.ch/ig/ch-rad-order/ValueSet/ch-rad-order-requested-service,2.0.1,active,,ChRadOrderRequestedService,Requested Service,"Definition for Requested Service Value Set in the context of CH RAD-Order.","Questionnaire/QuestionnaireRadiologyOrder,StructureDefinition/ch-rad-order-servicerequest,Questionnaire/ch-rad-order-module-medinfo","Internal"
http://fhir.ch/ig/ch-rad-order/ValueSet/ch-rad-order-view-type,2.0.1,active,,ChRadOrderViewType,View Type,"Definition for View Type Value Set in the context of CH RAD-Order.","Questionnaire/QuestionnaireRadiologyOrder,StructureDefinition/ch-rad-order-servicerequest,Questionnaire/ch-rad-order-module-medinfo","hl7.terminology.r4"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.classCode,3.3.0,active,"2.16.756.5.30.1.127.3.10.1.3",DocumentEntryClassCode,DocumentEntry.classCode,"Document class as per EPRO-FDHA Annex 3","StructureDefinition/ch-rad-order-composition","SCT"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.languageCode,3.3.0,active,"2.16.756.5.30.1.127.3.10.1.13",DocumentEntryLanguageCode,DocumentEntry.languageCode,"Document language as per Annex 3 EPRO-FDHA. Defines the language in which the document was written.","Questionnaire/QuestionnaireRadiologyOrder","ch.fhir.ig.ch-term,hl7.terminology.r4"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.typeCode,3.3.0,active,"2.16.756.5.30.1.127.3.10.1.27",DocumentEntryTypeCode,DocumentEntry.typeCode,"Type of document as per Annex 3 EPRO-FDHA.     The code defines a document’s type (e.g. discharge report, laboratory report). Each document type should be assigned to precisely one document class.","StructureDefinition/ch-rad-order-composition","SCT"
http://fhir.ch/ig/ch-term/ValueSet/condition-category,3.3.0,active,,ConditionCategoryCodes,Condition Category Codes,"Additional codes for condition category.","StructureDefinition/ch-rad-order-diagnosis-condition,StructureDefinition/ch-rad-order-caveat-condition","ch.fhir.ig.ch-term"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/ch-rad-order-bodyweight-observation,StructureDefinition/ch-rad-order-imagingstudy,StructureDefinition/ch-rad-order-creatinine-observation,StructureDefinition/ch-rad-order-diagnosis-condition,StructureDefinition/ch-rad-order-platelets-observation,StructureDefinition/ch-rad-order-INR-observation,StructureDefinition/ch-rad-order-creatinineclearance-observation,StructureDefinition/ch-rad-order-bodyheight-observation,StructureDefinition/ch-rad-order-caveat-condition","SCT"
http://hl7.org/fhir/ValueSet/bodysite-laterality,4.0.1,draft,"2.16.840.1.113883.4.642.3.287",Laterality,Laterality,"Laterality: SNOMED-CT concepts for 'left', 'right', and 'bilateral'","StructureDefinition/ch-rad-order-imagingstudy","SCT"
http://hl7.org/fhir/ValueSet/bundle-type,4.0.1,active,"2.16.840.1.113883.4.642.3.620",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","StructureDefinition/ch-rad-order-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/composition-attestation-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.238",CompositionAttestationMode,CompositionAttestationMode,"The way in which a person authenticated a composition.","StructureDefinition/ch-rad-order-composition","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/composition-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.241",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","StructureDefinition/ch-rad-order-composition","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/condition-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.162",ConditionCategoryCodes,Condition Category Codes,"Preferred value set for Condition Categories.","StructureDefinition/ch-rad-order-diagnosis-condition,StructureDefinition/ch-rad-order-caveat-condition","THO"
http://hl7.org/fhir/ValueSet/condition-clinical,4.0.1,draft,"2.16.840.1.113883.4.642.3.164",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","StructureDefinition/ch-rad-order-diagnosis-condition,StructureDefinition/ch-rad-order-caveat-condition","THO"
http://hl7.org/fhir/ValueSet/condition-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.161",Condition/Problem/DiagnosisCodes,Condition/Problem/Diagnosis Codes,"Example value set for Condition/Problem/Diagnosis codes.","StructureDefinition/ch-rad-order-diagnosis-condition","SCT"
http://hl7.org/fhir/ValueSet/condition-severity,4.0.1,draft,"2.16.840.1.113883.4.642.3.168",Condition/DiagnosisSeverity,Condition/Diagnosis Severity,"Preferred value set for Condition/Diagnosis severity grading.","StructureDefinition/ch-rad-order-diagnosis-condition,StructureDefinition/ch-rad-order-caveat-condition","SCT"
http://hl7.org/fhir/ValueSet/condition-stage,4.0.1,draft,"2.16.840.1.113883.4.642.3.170",ConditionStage,Condition Stage,"Example value set for stages of cancer and other conditions.","StructureDefinition/ch-rad-order-diagnosis-condition,StructureDefinition/ch-rad-order-caveat-condition","SCT"
http://hl7.org/fhir/ValueSet/condition-stage-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.171",ConditionStageType,Condition Stage Type,"Example value set for the type of stages of cancer and other conditions","StructureDefinition/ch-rad-order-diagnosis-condition,StructureDefinition/ch-rad-order-caveat-condition","SCT"
http://hl7.org/fhir/ValueSet/condition-ver-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.166",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","StructureDefinition/ch-rad-order-diagnosis-condition,StructureDefinition/ch-rad-order-caveat-condition","THO"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/ch-rad-order-bodyweight-observation,StructureDefinition/ch-rad-order-creatinine-observation,StructureDefinition/ch-rad-order-platelets-observation,StructureDefinition/ch-rad-order-INR-observation,StructureDefinition/ch-rad-order-creatinineclearance-observation,StructureDefinition/ch-rad-order-bodyheight-observation","THO"
http://hl7.org/fhir/ValueSet/doc-section-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.237",DocumentSectionCodes,Document Section Codes,"Document section codes (LOINC codes used in CCDA sections).","StructureDefinition/ch-rad-order-composition","LOINC"
http://hl7.org/fhir/ValueSet/document-relationship-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.244",DocumentRelationshipType,DocumentRelationshipType,"The type of relationship between documents.","StructureDefinition/ch-rad-order-composition","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.3.624",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","StructureDefinition/ch-rad-order-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/ch-rad-order-imagingstudy,StructureDefinition/ch-rad-order-servicerequest,StructureDefinition/ch-rad-order-document","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/ch-rad-order-imagingstudy,StructureDefinition/ch-rad-order-servicerequest,StructureDefinition/ch-rad-order-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/imagingstudy-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.990",ImagingStudyStatus,ImagingStudyStatus,"The status of the ImagingStudy.","StructureDefinition/ch-rad-order-imagingstudy","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/ch-rad-order-bodyweight-observation,StructureDefinition/ch-rad-order-composition,StructureDefinition/ch-rad-order-imagingstudy,StructureDefinition/ch-rad-order-creatinine-observation,StructureDefinition/ch-rad-order-diagnosis-condition,StructureDefinition/ch-rad-order-platelets-observation,StructureDefinition/ch-rad-order-INR-observation,StructureDefinition/ch-rad-order-creatinineclearance-observation,StructureDefinition/ch-rad-order-bodyheight-observation,StructureDefinition/ch-rad-order-caveat-condition,StructureDefinition/ch-rad-order-servicerequest,StructureDefinition/ch-rad-order-document","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/list-empty-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.322",ListEmptyReasons,List Empty Reasons,"General reasons for a list to be empty. Reasons are either related to a summary list (i.e. problem or medication list) or to a workflow related list (i.e. consultation list).","StructureDefinition/ch-rad-order-composition","THO"
http://hl7.org/fhir/ValueSet/list-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.318",ListMode,ListMode,"The processing mode that applies to this list.","StructureDefinition/ch-rad-order-composition","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/list-order,4.0.1,draft,"2.16.840.1.113883.4.642.3.324",ListOrderCodes,List Order Codes,"Base values for the order of the items in a list resource.","StructureDefinition/ch-rad-order-composition","THO"
http://hl7.org/fhir/ValueSet/manifestation-or-symptom,4.0.1,draft,"2.16.840.1.113883.4.642.3.169",ManifestationAndSymptomCodes,Manifestation and Symptom Codes,"Example value set for Manifestation and Symptom codes.","StructureDefinition/ch-rad-order-diagnosis-condition,StructureDefinition/ch-rad-order-caveat-condition","SCT"
http://hl7.org/fhir/ValueSet/medication-as-needed-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.96",SNOMEDCTMedicationAsNeededReasonCodes,SNOMED CT Medication As Needed Reason Codes,"This value set includes all clinical findings from SNOMED CT - provided as an exemplar value set.","StructureDefinition/ch-rad-order-servicerequest","SCT"
http://hl7.org/fhir/ValueSet/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.403",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/ch-rad-order-bodyweight-observation,StructureDefinition/ch-rad-order-creatinine-observation,StructureDefinition/ch-rad-order-platelets-observation,StructureDefinition/ch-rad-order-INR-observation,StructureDefinition/ch-rad-order-creatinineclearance-observation,StructureDefinition/ch-rad-order-bodyheight-observation","THO"
http://hl7.org/fhir/ValueSet/observation-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.396",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/ch-rad-order-creatinine-observation,StructureDefinition/ch-rad-order-platelets-observation,StructureDefinition/ch-rad-order-INR-observation,StructureDefinition/ch-rad-order-creatinineclearance-observation","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,4.0.1,active,"2.16.840.1.113883.4.642.3.399",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/ch-rad-order-bodyweight-observation,StructureDefinition/ch-rad-order-creatinine-observation,StructureDefinition/ch-rad-order-platelets-observation,StructureDefinition/ch-rad-order-INR-observation,StructureDefinition/ch-rad-order-creatinineclearance-observation,StructureDefinition/ch-rad-order-bodyheight-observation","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-methods,4.0.1,draft,"2.16.840.1.113883.4.642.3.395",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/ch-rad-order-bodyweight-observation,StructureDefinition/ch-rad-order-creatinine-observation,StructureDefinition/ch-rad-order-platelets-observation,StructureDefinition/ch-rad-order-INR-observation,StructureDefinition/ch-rad-order-creatinineclearance-observation,StructureDefinition/ch-rad-order-bodyheight-observation","SCT"
http://hl7.org/fhir/ValueSet/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.3.400",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","StructureDefinition/ch-rad-order-bodyweight-observation,StructureDefinition/ch-rad-order-creatinine-observation,StructureDefinition/ch-rad-order-platelets-observation,StructureDefinition/ch-rad-order-INR-observation,StructureDefinition/ch-rad-order-creatinineclearance-observation,StructureDefinition/ch-rad-order-bodyheight-observation","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/observation-vitalsignresult,4.0.1,active,"2.16.840.1.113883.3.88.12.80.62",VitalSigns,Vital Signs,"This value set indicates the allowed vital sign result types.   The LOINC code for Vitals Signs panel (85353-1) is a grouping structure for a set of vital signs and includes related links (with type=has-member) to the Observations in this set (e.g. respiratory rate, heart rate, BP).  The Blood pressure panel (85354-9) is used to group the component observations Systolic blood pressure (8480-6) and Diastolic blood pressure (8462-4).","StructureDefinition/ch-rad-order-bodyweight-observation,StructureDefinition/ch-rad-order-bodyheight-observation","LOINC"
http://hl7.org/fhir/ValueSet/participant-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.152",ParticipantRoles,Participant Roles,"Roles of participants that may be included in a care team.  Defined as: Is a Person, Healthcare professional (occupation) or Healthcare related organization (qualifier value).","StructureDefinition/ch-rad-order-servicerequest","SCT"
http://hl7.org/fhir/ValueSet/procedure-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.427",ProcedureCodes(SNOMEDCT),Procedure Codes (SNOMED CT),"Procedure Code: All SNOMED CT procedure codes.","StructureDefinition/ch-rad-order-servicerequest","SCT"
http://hl7.org/fhir/ValueSet/procedure-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.432",ProcedureReasonCodes,Procedure Reason Codes,"This example value set defines the set of codes that can be used to indicate a reason for a procedure.","StructureDefinition/ch-rad-order-imagingstudy,StructureDefinition/ch-rad-order-servicerequest","SCT"
http://hl7.org/fhir/ValueSet/quantity-comparator,4.0.1,active,"2.16.840.1.113883.4.642.3.59",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","StructureDefinition/ch-rad-order-bodyweight-observation,StructureDefinition/ch-rad-order-creatinine-observation,StructureDefinition/ch-rad-order-platelets-observation,StructureDefinition/ch-rad-order-INR-observation,StructureDefinition/ch-rad-order-creatinineclearance-observation,StructureDefinition/ch-rad-order-bodyheight-observation","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/referencerange-appliesto,4.0.1,draft,"2.16.840.1.113883.4.642.3.407",ObservationReferenceRangeAppliesToCodes,Observation Reference Range Applies To Codes,"This value set defines a set of codes that can be used to indicate the particular target population the reference range applies to.","StructureDefinition/ch-rad-order-bodyweight-observation,StructureDefinition/ch-rad-order-creatinine-observation,StructureDefinition/ch-rad-order-platelets-observation,StructureDefinition/ch-rad-order-INR-observation,StructureDefinition/ch-rad-order-creatinineclearance-observation,StructureDefinition/ch-rad-order-bodyheight-observation","SCT"
http://hl7.org/fhir/ValueSet/referencerange-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.3.397",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","StructureDefinition/ch-rad-order-bodyweight-observation,StructureDefinition/ch-rad-order-creatinine-observation,StructureDefinition/ch-rad-order-platelets-observation,StructureDefinition/ch-rad-order-INR-observation,StructureDefinition/ch-rad-order-creatinineclearance-observation,StructureDefinition/ch-rad-order-bodyheight-observation","THO"
http://hl7.org/fhir/ValueSet/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.3.113",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","StructureDefinition/ch-rad-order-servicerequest","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.3.115",RequestPriority,Request priority,"The clinical priority of a diagnostic order.","StructureDefinition/ch-rad-order-servicerequest","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/request-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.111",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","StructureDefinition/ch-rad-order-servicerequest","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/resource-types,4.0.1,active,"2.16.840.1.113883.4.642.3.27",ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","StructureDefinition/ch-rad-order-composition","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/search-entry-mode,4.0.1,active,"2.16.840.1.113883.4.642.3.622",SearchEntryMode,SearchEntryMode,"Why an entry is in the result set - whether it's included as a match or because of an _include requirement, or to convey information or warning information about the search process.","StructureDefinition/ch-rad-order-document","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/series-performer-function,4.0.1,draft,"2.16.840.1.113883.4.642.3.989",ImagingStudySeriesPerformerFunction,ImagingStudy series performer function,"Performer function of an agent in an imaging study series","StructureDefinition/ch-rad-order-imagingstudy","THO (V3)"
http://hl7.org/fhir/ValueSet/servicerequest-orderdetail,4.0.1,draft,"2.16.840.1.113883.4.642.3.435",ServiceRequestOrderDetailsCodes,Service Request Order Details Codes,"An example value set of Codified order entry details concepts.  These concepts only make sense in the context of what is being ordered.  This example is for a patient ventilation order","StructureDefinition/ch-rad-order-servicerequest","SCT"
http://hl7.org/fhir/ValueSet/ucum-bodylength,4.0.1,draft,"2.16.840.1.113883.4.642.3.958",BodyLengthUnits,Body Length Units,"UCUM units for recording body length measures such as height and head circumference","StructureDefinition/ch-rad-order-bodyheight-observation","UCUM"
http://hl7.org/fhir/ValueSet/ucum-bodyweight,4.0.1,draft,"2.16.840.1.113883.4.642.3.956",BodyWeightUnits,Body Weight Units,"UCUM units for recording Body Weight","StructureDefinition/ch-rad-order-bodyweight-observation","UCUM"
http://hl7.org/fhir/ValueSet/ucum-vitals-common,4.0.1,draft,"2.16.840.1.113883.4.642.3.955",VitalSignsUnits,Vital Signs Units,"Common UCUM units for recording Vital Signs","StructureDefinition/ch-rad-order-bodyweight-observation,StructureDefinition/ch-rad-order-bodyheight-observation","UCUM"
http://loinc.org/vs/loinc-rsna-radiology-playbook,null,active,,LOINC/RSNA Radiology Playbook,,"","StructureDefinition/ch-rad-order-servicerequest","LOINC"
http://terminology.hl7.org/ValueSet/v3-ActCode,3.0.0,active,,ActCode,v3 Code System ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.  Constraints:  The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems.  The coding system will depend on the class of Act, such as LOINC for observations, etc. Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure. Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","StructureDefinition/ch-rad-order-composition","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ConfidentialityClassification,2014-03-26,active,"2.16.840.1.113883.1.11.10228",v3.ConfidentialityClassification,V3 Value SetConfidentialityClassification," Set of codes used to value Act.Confidentiality and Role.Confidentiality attribute in accordance with the definition for concept domain ""Confidentiality"".","StructureDefinition/ch-rad-order-composition","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ServiceDeliveryLocationRoleType,3.0.0,active,"2.16.840.1.113883.1.11.17660",ServiceDeliveryLocationRoleType,ServiceDeliveryLocationRoleType,"A role of a place that further classifies the setting (e.g., accident site, road side, work site, community location) in which services are delivered.","StructureDefinition/ch-rad-order-servicerequest","THO (V3)"
